epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1249.05,0.96333,0.94052,1.20712,0.99022,0.63138,0.67798,0.51471,0.94301,1.01039,1.05502,0.000742625,0.000742625,0.000742625
43,1330.58,0.94421,0.92133,1.15407,0.63627,0.58056,0.66267,0.48863,0.99105,1.05485,1.11318,0.00073025,0.00073025,0.00073025
44,1417.06,0.92069,0.91787,1.10897,0.61433,0.75,0.65309,0.49985,0.9631,1.01511,1.06483,0.000717875,0.000717875,0.000717875
45,1509.64,0.9145,0.85477,1.14597,0.64495,0.63889,0.65878,0.51037,0.96654,0.98498,1.06165,0.0007055,0.0007055,0.0007055
46,1571.35,0.92471,0.88233,1.14157,0.9991,0.63889,0.67594,0.51246,0.94287,0.90442,1.05135,0.000693125,0.000693125,0.000693125
47,1633.84,1.05876,1.04124,1.28742,0.95035,0.66609,0.6705,0.51355,0.90971,0.90976,1.02934,0.00068075,0.00068075,0.00068075
48,1708.11,0.91655,0.87651,1.10149,0.94996,0.66446,0.66888,0.50557,0.9322,0.90754,1.04742,0.000668375,0.000668375,0.000668375
49,1758.5,0.91611,0.86585,1.13488,0.99724,0.63086,0.67779,0.51433,0.94483,0.88649,1.04869,0.000656,0.000656,0.000656
50,1776.41,0.90578,0.84327,1.07986,0.9955,0.63194,0.67547,0.51626,0.96697,0.9194,1.05777,0.000643625,0.000643625,0.000643625
51,1836.95,0.90957,0.83458,1.15363,0.64926,0.63889,0.67278,0.51283,0.90382,0.91325,1.03305,0.00063125,0.00063125,0.00063125
52,1869.9,0.78123,0.96092,1.06384,0.65655,0.62955,0.66185,0.48989,0.89126,0.91424,1.03242,0.000618875,0.000618875,0.000618875
53,1935.48,0.85004,0.80119,1.06963,0.65979,0.63889,0.6603,0.49563,0.89702,0.90496,1.03279,0.0006065,0.0006065,0.0006065
